IP,site,vuln
134.164.215.246,MS,
134.164.215.26,MS,
134.164.215.30,MS,
134.164.215.32,MS,
134.164.215.33,MS,
134.164.215.34,MS,
134.164.215.39,MS,
134.164.215.40,MS,
134.164.215.41,MS,
134.164.215.42,MS,
134.164.215.43,MS,
134.164.215.47,MS,
134.164.215.50,MS,
134.164.215.54,MS,
134.164.215.59,MS,
134.164.215.60,MS,
134.164.215.61,MS,
134.164.215.62,MS,
134.164.215.64,MS,
134.164.215.65,MS,
134.164.215.67,MS,
134.164.215.71,MS,
134.164.215.73,MS,
134.164.215.75,MS,
134.164.215.76,MS,
134.164.215.80,MS,
134.164.215.81,MS,
134.164.215.82,MS,
134.164.215.85,MS,
134.164.215.87,MS,
134.164.215.88,MS,
134.164.215.89,MS,
134.164.215.92,MS,
134.164.215.94,MS,
134.164.215.95,MS,
134.164.215.96,MS,
134.164.215.97,MS,
134.164.215.98,MS,
134.164.215.99,MS,
134.164.222.112,MS,
134.164.222.124,MS,
134.164.222.18,MS,
134.164.222.26,MS,
134.164.222.3,MS,
134.164.222.32,MS,
134.164.222.33,MS,
134.164.222.34,MS,
134.164.222.40,MS,
134.164.222.46,MS,
134.164.222.48,MS,
134.164.222.51,MS,
134.164.222.58,MS,
134.164.222.71,MS,
134.164.222.92,MS,
134.164.223.252,MS,
134.164.23.100,MS,
134.164.23.105,MS,
134.164.23.134,MS,
134.164.23.135,MS,
134.164.23.15,MS,
134.164.23.153,MS,
134.164.23.154,MS,
134.164.23.155,MS,
134.164.23.163,MS,
134.164.23.164,MS,
134.164.23.165,MS,
134.164.23.20,MS,
134.164.23.216,MS,
134.164.23.217,MS,
134.164.23.220,MS,
134.164.23.25,MS,
134.164.23.27,MS,
134.164.23.30,MS,
134.164.23.31,MS,
134.164.23.5,MS,
134.164.23.55,MS,
134.164.23.61,MS,
134.164.23.63,MS,
134.164.23.86,MS,
134.164.23.91,MS,
134.164.23.93,MS,
134.164.24.104,MS,
134.164.24.145,MS,
134.164.24.148,MS,
134.164.24.217,MS,
134.164.24.245,MS,
134.164.24.32,MS,
134.164.24.5,MS,
134.164.24.96,MS,
134.164.250.19,MS,
134.164.250.23,MS,
134.164.250.241,MS,
134.164.250.251,MS,
134.164.250.50,MS,
134.164.251.245,MS,
134.164.252.40,MS,
134.164.252.61,MS,
134.164.252.62,MS,
134.164.253.100,MS,
134.164.253.101,MS,
134.164.253.102,MS,
134.164.253.103,MS,
134.164.253.104,MS,
134.164.253.105,MS,
134.164.253.106,MS,
134.164.253.107,MS,
134.164.253.108,MS,
134.164.253.109,MS,
134.164.253.110,MS,
134.164.253.111,MS,
134.164.253.112,MS,
134.164.253.113,MS,
134.164.254.101,MS,
134.164.254.13,MS,
134.164.254.14,MS,
134.164.254.15,MS,
134.164.254.16,MS,
134.164.254.61,MS,
134.164.254.62,MS,
134.164.255.101,MS,
134.164.255.112,MS,
134.164.255.135,MS,
134.164.255.18,MS,
134.164.255.184,MS,
134.164.255.186,MS,
134.164.255.203,MS,
134.164.255.40,MS,
134.164.255.41,MS,
134.164.255.55,MS,
134.164.255.58,MS,
134.164.34.46,MS,
134.164.4.119,MS,
134.164.4.153,MS,
134.164.40.34,MS,
134.164.40.37,MS,
134.164.7.250,MS,
134.164.70.15,MS,
134.164.99.34,MS,
