IP,site,dns,vuln
134.164.214.54,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.52,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.46,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.43,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.40,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.35,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.33,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.32,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.27,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.24,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.6,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.3,ms.vicksburg-0012.erdc.usace - v4,,
134.164.214.1,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.225,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.209,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.199,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.198,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.181,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.170,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.165,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.160,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.154,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.148,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.144,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.139,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.137,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.124,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.122,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.119,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.100,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.85,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.79,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.73,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.66,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.55,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.51,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.40,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.39,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.37,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.36,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.21,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.19,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.13,ms.vicksburg-0012.erdc.usace - v4,,
134.164.213.5,ms.vicksburg-0012.erdc.usace - v4,,
134.164.212.250,ms.vicksburg-0012.erdc.usace - v4,,
134.164.212.241,ms.vicksburg-0012.erdc.usace - v4,,
134.164.212.240,ms.vicksburg-0012.erdc.usace - v4,,
134.164.212.239,ms.vicksburg-0012.erdc.usace - v4,,
134.164.204.37,ms.vicksburg-0012.erdc.usace - v4,el1kbd-wd-57379.erdc.dren.mil,
134.164.204.30,ms.vicksburg-0012.erdc.usace - v4,gslcaw-wd-s3229.erdc.dren.mil,
134.164.190.11,ms.vicksburg-0012.erdc.usace - v4,itllda-wd-s0940.erdc.dren.mil,
134.164.184.41,ms.vicksburg-0012.erdc.usace - v4,itljxh-wn-2475g.erdc.dren.mil,
134.164.184.27,ms.vicksburg-0012.erdc.usace - v4,itltwp-wn-s5613.erdc.dren.mil,
134.164.168.58,ms.vicksburg-0012.erdc.usace - v4,gslamb-wn-3832g.erdc.dren.mil,
134.164.168.27,ms.vicksburg-0012.erdc.usace - v4,gsljdg-mn-s1644.erdc.dren.mil,
134.164.129.181,ms.vicksburg-0012.erdc.usace - v4,,
134.164.129.174,ms.vicksburg-0012.erdc.usace - v4,,
134.164.129.172,ms.vicksburg-0012.erdc.usace - v4,,
134.164.129.171,ms.vicksburg-0012.erdc.usace - v4,,
134.164.129.90,ms.vicksburg-0012.erdc.usace - v4,,
134.164.109.57,ms.vicksburg-0012.erdc.usace - v4,chlcjm-wd-s8510.erdc.dren.mil,
134.164.90.9,ms.vicksburg-0012.erdc.usace - v4,,
