IP Address,Host Name/DNS,Device Type/Model,Operating System,Reason for Exclusion,Repository,Confirmed,Entry Type
IP Address,Host Name/DNS,Device Type/Model,Operating System,Reason for Exclusion,Repository,Confirmed,Entry Type
134.164.40.35,,3D Printer,,3D Printer,,,Single IP Address
IP Address,Host Name/DNS,Device Type/Model,Operating System,Reason for Exclusion,Repository,Confirmed,Entry Type
134.164.40.35,,3D Printer,,3D Printer,,,Single IP Address
IP Address,Host Name/DNS,Device Type/Model,Operating System,Reason for Exclusion,Repository,Confirmed,Entry Type
134.164.40.35,,3D Printer,,3D Printer,,,Single IP Address
10.202.135.185,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.186,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.187,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.188,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.189,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.190,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.191,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.192,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.193,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.194,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.195,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.196,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.197,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.198,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.199,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.200,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.201,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.202,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.203,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.204,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.205,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.206,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.207,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.208,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.209,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.210,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.211,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.212,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.213,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.214,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.215,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.216,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.217,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.218,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.219,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
10.202.135.220,,Building Automation System,,Building Automation System,,,IP Network 10.202.135.0/24
